ФИО,№ гранта,Тема,Организация
Волос Алексей Александрович,МК-165.2021.2,Цифровые челленджи современного наследственного права.,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Саратовская государственная юридическая академия"""
Воронов Александр Сергеевич,МК-2025.2021.2,Управление устойчивым пространственным развитием региональных социально-экономических систем,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Головина Екатерина Ильинична,МК-5940.2021.2,Разработка международной системы управления ресурсами подземных вод на трансграничных территориях,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский горный университет"""
Головко Николай Вячеславович,МК-4297.2021.2,Трансъязычные и мультиязычные коммуникативные практики иностранных студентов в российском вузе,"Федеральное государственное автономное образовательное учреждение высшего образования ""Северо-Кавказский федеральный университет"""
Гомонов Константин Геннадьевич,МК-5006.2021.2,Анализ механизмов формирования экономики замкнутого цикла на примере стран ЕС,Федеральное государственное автономное образовательное учреждение высшего образования «Российский университет дружбы народов»
Гримов Олег Александрович,МК-5019.2021.2,Научные социальные сети как ресурс академической мобильности,Федеральное государственное бюджетное образовательное учреждение высшего образования «Юго-Западный государственный университет»
Демарева Валерия Алексеевна,МК-6208.2021.2,Психофизиологические маркеры смены эпистемических состояний (на примере процесса онлайн-обучения),Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»
Довжик Лидия Михайловна,МК-6241.2021.2,Профессиональная траектория и ресурсы психологического благополучия спортивных тренеров ,Негосударственное образовательное частное учреждение высшего образования «Московский институт психоанализа»
Жукова Марина Андреевна,МК-4217.2021.2,Оценка параметров языковой среды дошкольников в образовательном учреждении и дома,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный университет"""
Кириллова Елена Александровна,МК-4087.2021.2,Разработка инструментов управления инновационным развитием региона посредством катализации и расширения научно-промышленной кооперации на основе патентно-лицензионной информации,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Национальный исследовательский университет ""МЭИ"""
Колесник Александра Сергеевна,МК-1474.2021.2,Использование понятия культурного наследия в публичных мемориальных практиках современной России,"Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ""Высшая школа экономики"""
Корнилаев Леонид Юрьевич,МК-4700.2021.2,Философия Фихте в русском неокантианстве,"Федеральное государственное автономное образовательное учреждение высшего образования ""Балтийский федеральный университет имени Иммануила Канта"""
Коростиченко Екатерина Игоревна,МК-4357.2021.2,На пути к диалогу: дискуссии о религии и церкви в секулярном публичном пространстве,Федеральное государственное бюджетное учреждение науки Институт философии Российской академии наук
Кочеткова Елена Алексеевна,МК-2936.2021.2,«Зеленая держава»: лесные ресурсы в структуре советской экономики в 1945-1991 гг.,"Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ""Высшая школа экономики"""
Краснопеева Екатерина Сергеевна,МК-73.2021.2,Лингвистические особенности видеоудалённого устного перевода на русский язык								,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Челябинский государственный университет"""
Малыгина Ольга Анатольевна,МК-6005.2021.2,Имперская стратегия трансграничной безопасности России на восточных рубежах (XIX - начало XX вв.),"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Бурятский государственный университет имени Доржи Банзарова"""
Маштакова Любовь Владиславовна,МК-6131.2021.2,Творческое наследие уральских поэтов и писателей в контексте исторических вызовов рубежа XIX-XX вв.,Федеральное государственное бюджетное учреждение науки Институт истории и археологии Уральского отделения Российской академии наук
Морозова Светлана Сергеевна,МК-3016.2021.2,Формирование динамической модели оптимизации электронного правительства в Российской Федерации в условиях новых вызовов и рисков,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный университет"""
Никитина Алёна Сергеевна,МК-5062.2021.2,Социальный контроль за деятельностью органов государственной власти в условиях цифровизации: стратегии и вызовы,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации"""
Очеретяный Константин Алексеевич,МК-169.2021.2,Техники заботы о себе в цифровой реальности,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный университет"""
Перикова Екатерина Игоревна,МК-2021.2021.2,Обучение в движении: Участие моторной коры в мгновенном семантическом научении новым словам,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный университет"""
Петров Иван Васильевич,МК-4539.2021.2,"Попытки отделения православных приходов Беларуси, Латвии и Эстонии от Русской Православной Церкви в 1941-1991 гг.","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный университет"""
Помигуев Илья Александрович,МК-1432.2021.2,Политическая природа юридических процедур в парламенте: применение законодательных технологий в Государственной Думе РФ ,Федеральное государственное бюджетное учреждение науки Институт научной информации по общественным наукам Российской академии наук
Романовский Владислав Георгиевич,МК-390.2021.2,Ограничения прав человека в цифровом пространстве в целях противодействия терроризму,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Пензенский государственный университет"""
Рыгалова Мария Владимировна,МК-4173.2021.2,По маршрутам исследователей и путешественников Алтая: актуализация наследия средствами ГИС-технологий,Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный университет»
Саитбатталов Искандер Расулевич,МК-5052.2021.2,Перевод и интерпретация сакральных текстов ислама и христианства в Башкирии XIX века,Федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский государственный университет»
Соболев Владимир Андреевич,МК-4465.2021.2,Советская политологическая традиция и ее роль в развитии современной политической науки в России,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Сорокин Александр Анатольевич,МК-2631.2021.2,Институт земских выборов в общественно-политическом дискурсе Российской империи на рубеже XIX–XX вв.,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»
Сущенко Анастасия Дмитриевна,МК-2006.2021.2,"Прекаризация и социально-экономические аспекты занятости молодых специалистов на рынке труда в условиях пандемии: стратегии поведения, дискриминация, безработица",Федеральное государственное автономное образовательное учреждение высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»
Сыманюк Нина Васильевна,МК-6113.2021.2,Государственное устройство России и Китая: сравнительно-правовое исследование,Федеральное государственное автономное образовательное учреждение высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»
Титова Екатерина Валерьевна,МК-3204.2021.2,Модель интеграции переселенцев как механизм оптимизации миграционных процессов в Еврейской автономной области,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Приамурский государственный университет имени Шолом-Алейхема"""
Тихонова Анна Витальевна,МК-422.2021.2,Современные трансформации системы налогообложения физических лиц,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский государственный аграрный университет - МСХА имени К.А. Тимирязева"""
Топильский Алексей Геннадьевич,МК-5803.2021.2,Русино-украинские общественно-политические организации в Галиции во второй половине XIX - начале XX века,Федеральное государственное бюджетное образовательное учреждение высшего образования «Тамбовский государственный университет имени Г.Р. Державина»
Федюнина Анна Андреевна,МК-2605.2021.2,"Оценка участия России в международной торговле продукцией, связанной с технологиями Четвертой промышленной революции, и ее влияние на улучшение позиций России в глобальных цепочках создания стоимости","Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ""Высшая школа экономики"""
Фролов Константин Геннадьевич,МК-703.2021.2,Натуралистическая эпистемология&nbsp;агентности и моральной ответственности&nbsp;при разработке и использовании&nbsp;технологий&nbsp;дополненного интеллекта,Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина)»
Фролов Роман Михайлович,МК-287.2021.2,Политическая инициатива промагистратов Римской республики в сфере domi,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ярославский государственный университет им. П.Г. Демидова"""
Чеботарева Галина Сергеевна,МК-4549.2021.2,Исследование конкурентоспособности возобновляемой энергетики на российском рынке в условиях перехода к цифровой энергетической парадигме,Федеральное государственное автономное образовательное учреждение высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»
Череповицына Алина Александровна <i>(Ильинова)</i>,МК-4812.2021.2,Стратегическое прогнозирование развития нефтегазопромышленных комплексов в условиях циркулярной экономики ,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский горный университет"""
Черных Ирина Алексеевна,МК-2118.2021.2,Проблемы исследования и использования (включая освоение) космических ресурсов: международно-правовой и сравнительно-правовой анализ,Федеральное государственное автономное образовательное учреждение высшего образования «Российский университет дружбы народов»
Чернышов Сергей Андреевич,МК-5529.2021.2,"Присоединение Сибири как общерусский дискурс: цифровой анализ системообразующих идей ""сибирских летописей""",Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский государственный университет»
Чупин Роман Игоревич,МК-5244.2021.2,Транспортно-логистическая инфраструктура Юга Сибири в условиях экспортной экспансии российского зерна,Федеральное государственное бюджетное учреждение науки Омский научный центр Сибирского отделения Российской академии наук
Шелестин Владимир Юрьевич,МК-5711.2021.2,Динамика этнополитических процессов на северной периферии Хеттского царства.,Федеральное государственное бюджетное учреждение науки Институт востоковедения Российской академии наук
Шипова Наталья Сергеевна,МК-6263.2021.2,"Самореализация лиц с атипичным развитием: специфика, эффективность, прогноз","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Костромской государственный университет"""
Янак Алина Леонидовна,МК-641.2021.2,Дискурсивные практики немодального родительства: общественное мнение и государственная политика,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»
Гаврюшин Михаил Юрьевич,МК-5809.2021.3,Разработка научно-практической модели диагностики пищевого статуса в ходе профилактических осмотров детей и подростков,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Самарский государственный медицинский университет"" Министерства здравоохранения Российской Федерации"
Дьякова Нина Алексеевна,МК-1177.2021.3,Разработка экспрессных технологий получения инулина из перспективных растительных источников,Федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный университет»
Застрожин Михаил Сергеевич,МК-3902.2021.3,"Персонализированная фармакотерапия транквилизаторами пациентов с тревожными расстройствами, коморбидными с алкоголизмом, на основе фармакогенетических, фармакокинетических и фармакотранскриптомных биомаркеров",Федеральное государственное бюджетное образовательное учреждение дополнительного профессионального образования «Российская медицинская академия непрерывного профессионального образования» Министерства здравоохранения Российской Федерации
Котова Юлия Александровна,МК-3435.2021.3,Факторы вирусной этиологии как детерминанта риска развития коронарного атеросклероза и инфаркта миокарда,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Воронежский государственный медицинский университет имени Н.Н. Бурденко"" Министерства здравоохранения Российской Федерации"
Крылов Андрей Александрович,МК-1393.2021.3,Возможности регенеративных технологий в лечении пациентов с периферическим атеросклерозом с использованием гомографтов.,Федеральное государственное бюджетное образовательное учреждение высшего образования «Рязанский государственный медицинский университет имени академика И.П. Павлова» Министерства здравоохранения Российской Федерации
Кузнецова Дарья Сергеевна,МК-1649.2021.3,Разработка неинвазивного метода оценки структурно-функционального состояния печени на клеточном уровне с помощью метаболического имиджинга,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Приволжский исследовательский медицинский университет"" Министерства здравоохранения Российской Федерации"
Мухамедшина Яна Олеговна,МК-2737.2021.3,Характеристика поверхностного компартмента нейронов на различном удалении от эпицентра травмы спинного мозга,Федеральное государственное автономное образовательное учреждение высшего образования «Казанский (Приволжский) федеральный университет»
Нифонтова Галина Олеговна,МК-3433.2021.3,Влияние молекулярного и клеточного микроокружения на адресную доставку полимерных капсул микронного и субмикронного размера в EGFR+-опухолевые клетки ,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский ядерный университет «МИФИ»
Авдеев Борис Александрович,МК-5450.2021.4,Адаптивные интеллектуальные распределительные сети энергоснабжения для интеграции цепей постоянного и переменного токов,Федеральное государственное бюджетное образовательное учреждение высшего образования «Керченский государственный морской технологический университет»
Аникина Ирина Дмитриевна,МК-5276.2021.4,Повышение энергетической эффективности теплоэлектроцентралей при совместной эксплуатации с теплонасосными установками большой мощности,Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский политехнический университет Петра Великого»
Аносов Максим Сергеевич,МК-370.2021.4,Оценка хладостойкости и изучение механизмов разрушения металлов полученных на основе 3D-печати для обеспечения безопасной эксплуатации технических объектов в условиях Арктики и Крайнего Севера,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Нижегородский государственный технический университет им. Р.Е. Алексеева"""
Анохина Татьяна Сергеевна,МК-3647.2021.4,Получение нанофильтрационных мембран на основе альгината натрия с варьируемыми разделительными характеристиками,Федеральное государственное бюджетное учреждение науки Ордена Трудового Красного Знамени Институт нефтехимического синтеза им. А.В. Топчиева Российской академии наук
Аншаков Александр Сергеевич,МК-3792.2021.4,Развитие методов композитного моделирования волновых процессов для портовых гидротехнических сооружений,Федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный исследовательский Московский государственный строительный университет»
Бабич Алексей Вальтерович,МК-5457.2021.4,"Закономерности изменения кинетики кристаллизации в гомологическом ряду соединений, лежащих на линии квазибинарного разреза GeTe-Sb2Te3",Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет «Московский институт электронной техники»
Бабкин Александр Викторович,МК-4249.2021.4,Разработка научно-технологических основ процессов извлечения тяжелых и редкоземельных металлов композиционными материалами на основе графена при глубокой сорбционной очистке техногенно - деградированных водных сред,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Тамбовский государственный технический университет"""
Баженов Степан Дмитриевич,МК-4659.2021.4,Перстракционное выделение термостабильных солей из алканоламиновых абсорбентов диоксида углерода,Федеральное государственное бюджетное учреждение науки Ордена Трудового Красного Знамени Институт нефтехимического синтеза им. А.В. Топчиева Российской академии наук
Батухтин Сергей Геннадьевич,МК-4148.2021.4,Разработка энергоэффективного метода совместной работы котельных агрегатов ТЭС и установок гелиовоздушного нагрева,Федеральное государственное бюджетное образовательное учреждение высшего образования «Забайкальский государственный университет»
Бачериков Иван Викторович,МК-1761.2021.4,"Разработка методики, математической модели и программного обеспечения для решения задачи оптимизации размещения лесной дорожно-транспортной и противопожарной инфраструктуры",Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский государственный лесотехнический университет имени С.М. Кирова»
Бедретдинов Рустам Шамилевич,МК-2026.2021.4,Исследование вопросов управления качеством электроснабжения в интеллектуальных электрических сетях с тиристорными регуляторами напряжения и источниками распределенной генерации,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Нижегородский государственный технический университет им. Р.Е. Алексеева"""
Бинчуров Александр Сергеевич,МК-5531.2021.4,"Конструирование, оптимизация составов и технологий изготовления наноструктурированных твердосплавных композитов на основе карбида вольфрама полученных из бимодальных порошковых смесей.",Федеральное государственное автономное образовательное учреждение высшего образования «Сибирский федеральный университет»
Борисов Олег Игоревич,МК-4397.2021.4,Адаптивное и робастное управление робототехническими системами с неопределенностями и нелинейностями,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет ИТМО»
Валеев Анвар Рашитович,МК-1188.2021.4,Разработка методов дистанционного мониторинга технического состояния промышленного оборудования с использованием данных непрерывной тензометрии ,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уфимский государственный нефтяной технический университет»
Валеев Дмитрий Вадимович,МК-5510.2021.4,Разработка и сравнение кислотных способов получения глинозема из Российского высококремнистого сырья,Федеральное государственное бюджетное учреждение науки Ордена Ленина и Ордена Октябрьской революции Институт геохимии и аналитической химии им. В.И. Вернадского Российской академии наук
Васильев Алексей Владимирович,МК-4027.2021.4,Разработка научных основ и обобщение методов определения энергетического спектра нейтронного излучения для оценки его радиационного воздействия на объектах использования атомной энергии,Федеральное государственное бюджетное учреждение науки Институт промышленной экологии Уральского отделения Российской академии наук
Винницкий Вадим Александрович,МК-3825.2021.4,Управление РАО в технологии ВВЭР: разработка технических решений по системам переработки жидких радиоактивных сред «ядерного острова»,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный технологический институт (технический университет)"""
Власова Алена Юрьевна,МК-1312.2021.4,Разработка ресурсосберегающих технологий утилизации высокоминерализованных кислых отходов с ионитной части комбинированных водоподготовительных установок на предприятиях энергетического сектора.,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Казанский государственный энергетический университет"""
Глебов Алексей Олегович,МК-1088.2021.4,Разработка новых способов конструирования механически нагруженных систем равномерного электрического нагрева на основе методов топологической оптимизации,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Тамбовский государственный технический университет"""
Гурин Иван Александрович,МК-3635.2021.4,Анализ и прогнозирование хода доменной печи в режиме реального времени на основе разработки и внедрения комплекса математических моделей с помощью натурно-модельного подхода,Федеральное государственное автономное образовательное учреждение высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»
Денисов Максим Сергеевич,МК-181.2021.4,Управление процессом формирования физико-механических свойств высокопрочных алюминиевых сплавов в условиях наложения давления до начала кристаллизации,Федеральное государственное бюджетное образовательное учреждение высшего образования «Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых»
Дерусова Дарья Александровна,МК-1221.2021.4,Разработка метода и аппаратуры бесконтактной ультразвуковой стимуляции для проведения контроля качества композиционных и полимерных материалов с использованием лазерной виброметрии.,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский политехнический университет»
Докторов Андрей Николаевич,МК-4044.2021.4,Разработка и исследование структур быстродействующих цифро-аналоговых преобразователей в составе формирователей высокочастотных когерентных сигналов перспективных систем радиолокации и телекоммуникации с использованием технологии MIMO,Федеральное государственное бюджетное образовательное учреждение высшего образования «Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых»
Дрёмин Виктор Владимирович,МК-398.2021.4,Оптическая генерация и детекция синглетного кислорода в задачах редокс-биологии,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Орловский государственный университет имени И.С. Тургенева"""
Дубков Сергей Владимирович,МК-2201.2021.4,Разработка подходов к формированию функциональных слоев TiO2\Me для регенерируемых чувствительных элементов биосенсоров,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет «Московский институт электронной техники»
Евсеев Николай Сергеевич,МК-3236.2021.4,Разработка и исследование высокоэнтропийных сплавов системы Hf-C-N-Me-B,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский государственный университет»
